city,state,ev_network,total_stations,total_ports,dc_fast_pct,level2_pct,rolling_avg_ports
Watsonville,CA,ChargePoint Network,17,34,0.0,100.0,34.43
South San Francisco,CA,CHARGELAB,1,33,0.0,100.0,33.0
Manhattan Beach,CA,Non-Networked,11,33,0.0,100.0,38.14
Lancaster,CA,ChargePoint Network,27,33,0.0,100.0,34.14
San Francisco,CA,CHARGELAB,4,33,0.0,100.0,33.0
Santa Monica,CA,LOOP,8,33,12.12,87.88,37.86
Glendora,CA,ChargePoint Network,19,33,3.03,96.97,33.86
Santa Rosa,CA,AUTEL,4,33,0.0,100.0,45.5
Folsom,CA,FLO,3,32,0.0,100.0,210.5
Garden Grove,CA,Tesla,1,32,100.0,0.0,35.29
South Lake Tahoe,CA,Tesla,3,32,100.0,0.0,34.71
Tracy,CA,Tesla,2,32,100.0,0.0,34.14
Culver City,CA,Tesla,3,32,100.0,0.0,33.57
Patterson,CA,Tesla,2,32,100.0,0.0,33.0
Laguna Hills,CA,Tesla,2,32,100.0,0.0,32.43
Hawthorne,CA,Tesla,2,32,100.0,0.0,32.0
Bakersfield,CA,NOODOE,5,32,25.0,75.0,78.0
Santa Clara,CA,Tesla,2,32,100.0,0.0,32.0
Goleta,CA,ChargePoint Network,27,32,0.0,100.0,33.43
Santa Barbara,CA,Tesla Destination,10,32,0.0,100.0,43.29
Torrance,CA,POWERFLEX,2,32,0.0,100.0,41.29
Murrieta,CA,Tesla,2,32,100.0,0.0,32.0
Chino,CA,Tesla,2,32,100.0,0.0,32.0
City of Industry,CA,Tesla,2,32,100.0,0.0,32.0
Montebello,CA,ChargePoint Network,25,32,3.13,96.88,33.14
Woodland,CA,EVGATEWAY,4,32,100.0,0.0,54.71
Sunnyvale,CA,eVgo Network,7,32,100.0,0.0,54.43
Oakland,CA,EV Connect,1,31,100.0,0.0,63.75
Rancho Mirage,CA,ChargePoint Network,17,31,6.45,93.55,32.71
Pleasant Hill,CA,ChargePoint Network,16,31,0.0,100.0,32.29
Visalia,CA,Tesla,2,31,100.0,0.0,31.86
Napa,CA,LOOP,4,31,0.0,100.0,35.57
Agoura Hills,CA,Tesla,1,31,100.0,0.0,31.71
Santee,CA,ChargePoint Network,18,31,0.0,100.0,31.86
El Cajon,CA,POWERFLEX,3,31,0.0,100.0,38.14
Concord,CA,ChargePoint Network,16,31,0.0,100.0,31.57
San Jose,CA,EVGATEWAY,4,30,60.0,40.0,45.29
Livermore,CA,eVgo Network,4,30,100.0,0.0,45.0
Mountain View,CA,EV Connect,8,30,0.0,100.0,57.0
San Carlos,CA,ChargePoint Network,18,30,0.0,100.0,31.14
Corning,CA,EVGATEWAY,1,30,0.0,100.0,36.43
Camarillo,CA,EV Connect,1,30,0.0,100.0,52.5
Arvin,CA,AMPUP,5,30,13.33,86.67,161.67
Rocklin,CA,Tesla,2,30,100.0,0.0,31.43
Concord,CA,eVgo Network,4,30,100.0,0.0,38.29
Pleasanton,CA,AMPUP,1,30,0.0,100.0,128.75
Bakersfield,CA,eVgo Network,4,30,100.0,0.0,33.14
San Gabriel,CA,EVCS,5,30,86.67,13.33,73.86
Camarillo,CA,LOOP,2,30,0.0,100.0,33.86
Long Beach,CA,SWTCH,1,30,0.0,100.0,30.0
Suisun City,CA,EVCS,1,30,66.67,33.33,45.86
El Monte,CA,ChargePoint Network,16,30,0.0,100.0,30.86
Santa Maria,CA,POWERFLEX,2,30,0.0,100.0,36.0
Compton,CA,ChargePoint Network,17,29,6.9,93.1,30.43
Chico,CA,Tesla Destination,5,29,0.0,100.0,39.43
Carlsbad,CA,LOOP,2,29,0.0,100.0,32.57
Los Angeles,CA,CHARGELAB,3,29,0.0,100.0,31.67
Hayward,CA,Blink Network,4,29,0.0,100.0,36.29
Santee,CA,Blink Network,5,29,0.0,100.0,34.57
Barstow,CA,Tesla Destination,1,29,0.0,100.0,36.0
